"","feature","ICC_noGA_early","ICC_noGA_32weeks","ICC_noGA_35weeks","ICC_withGA_early","ICC_withGA_32weeks","ICC_withGA_35weeks"
"1","amplitude_kurtosis__1_",0,0.0546017074403064,0,3.67722954440666e-14,0.10903342666297,0
"2","amplitude_kurtosis__2_",0.232349447769963,0.293209180559882,0,0.0482823262035688,0.33521627163408,4.80577996648268e-15
"3","amplitude_kurtosis__3_",0,0.123692818585894,0,1.44162994026503e-14,0.142782223075051,0
"4","amplitude_kurtosis__4_",0,0.422860852217019,0,1.22014706436376e-15,0.0657777724372334,2.43739035040138e-16
"5","amplitude_skew__1_",0,0.488123669008917,0,0,0.453087284916572,2.07470350098272e-16
"6","amplitude_skew__2_",0.0713306091065481,0.0749115449211212,0,0,0.134764104240187,0
"7","amplitude_skew__3_",0.170607524514598,0.0730421707906516,0,0,0.131727741490015,0
"8","amplitude_skew__4_",0,0.406352601142447,0.250732736982642,0,0.389351685181186,6.79470103985788e-16
"9","connectivity_coh_mean__1_",0,0.104050659764241,0,0,0.165293180759364,9.29632334545702e-16
"10","connectivity_coh_mean__2_",0.323088728161404,5.4561141620369e-20,6.04768672519604e-16,1.80310369593007e-14,3.75918806881476e-14,0
"11","connectivity_coh_mean__3_",0.355421222855964,0.231612939502195,0,0,0.268196524227136,1.41279901876517e-15
"12","connectivity_coh_mean__4_",0.109855964175331,0,0,4.20093263094525e-15,0,1.59062848206957e-15
"13","IBI_burst_prc",5.99170816787064e-15,1.16073369153186e-20,0,0,8.93607245213455e-15,8.59937545332311e-16
"14","IBI_length_median",0,9.98752088381264e-17,0.107100486515734,0,1.15806722145027e-15,1.46493432821078e-15
"15","spectral_power__1_",0.217499623276699,0.825502085247295,0.127201269035843,0.248873164140862,0.308785536232471,0.214205068221295
"16","spectral_power__2_",0.0274348878256386,0,0,0.0157431262388356,0,5.73218707632035e-15
"17","spectral_power__3_",0.157691218656015,0.0295166669802659,0,0.12498910219085,3.71290079137168e-14,0.0904216606336363
"18","spectral_power__4_",0.550470785077803,0.387592009639776,0.337412895534575,0.432085427432137,0.370029909068709,0.133115533627907
"19","spectral_relative_power__1_",0.433120884339062,0.403735981878458,0,0.482326104741209,5.17051507925496e-17,6.43315194700868e-14
"20","spectral_relative_power__2_",0.346979392940233,0.438572452061801,4.58178134290287e-16,0.372525518710278,4.60617544546484e-14,3.34799390521392e-14
"21","spectral_relative_power__3_",0.387758434858011,0.464902869267289,0.188247412960354,0.292413334543626,0.0294359454214415,0.201394468195449
"22","spectral_relative_power__4_",0.615153618840576,0.467763505465878,0.285821906532142,0.338109247013148,0.0846420591898077,0
