"feature","ICC_noGA_early","ICC_noGA_early_SIG","ICC_noGA_32weeks","ICC_noGA_32weeks_SIG","ICC_noGA_35weeks","ICC_noGA_35weeks_SIG","ICC_withGA_early","ICC_withGA_early_SIG","ICC_withGA_32weeks","ICC_withGA_32weeks_SIG","ICC_withGA_35weeks","ICC_withGA_35weeks_SIG"
"amplitude_kurtosis__1_",0,FALSE,0.0546017074403064,FALSE,0,FALSE,3.67722954440666e-14,FALSE,0.10903342666297,FALSE,0,FALSE
"amplitude_kurtosis__2_",0.232349447769963,TRUE,0.293209180559882,TRUE,0,FALSE,0.0482823262035688,TRUE,0.33521627163408,TRUE,4.80577996648268e-15,FALSE
"amplitude_kurtosis__3_",0,FALSE,0.123692818585894,FALSE,0,FALSE,1.44162994026503e-14,TRUE,0.142782223075051,FALSE,0,FALSE
"amplitude_kurtosis__4_",0,FALSE,0.422860852217019,FALSE,0,FALSE,1.22014706436376e-15,FALSE,0.0657777724372334,TRUE,2.43739035040138e-16,FALSE
"amplitude_skew__1_",0,FALSE,0.488123669008917,TRUE,0,FALSE,0,FALSE,0.453087284916572,TRUE,2.07470350098272e-16,FALSE
"amplitude_skew__2_",0.0713306091065481,FALSE,0.0749115449211212,FALSE,0,FALSE,0,FALSE,0.134764104240187,FALSE,0,FALSE
"amplitude_skew__3_",0.170607524514598,TRUE,0.0730421707906516,FALSE,0,FALSE,0,FALSE,0.131727741490015,TRUE,0,FALSE
"amplitude_skew__4_",0,FALSE,0.406352601142447,FALSE,0.250732736982642,TRUE,0,FALSE,0.389351685181186,FALSE,6.79470103985788e-16,FALSE
"connectivity_coh_mean__1_",0,FALSE,0.104050659764241,FALSE,0,FALSE,0,FALSE,0.165293180759364,TRUE,9.29632334545702e-16,FALSE
"connectivity_coh_mean__2_",0.323088728161404,TRUE,5.4561141620369e-20,FALSE,6.04768672519604e-16,FALSE,1.80310369593007e-14,FALSE,3.75918806881476e-14,FALSE,0,FALSE
"connectivity_coh_mean__3_",0.355421222855964,TRUE,0.231612939502195,FALSE,0,FALSE,0,FALSE,0.268196524227136,FALSE,1.41279901876517e-15,FALSE
"connectivity_coh_mean__4_",0.109855964175331,TRUE,0,FALSE,0,FALSE,4.20093263094525e-15,TRUE,0,FALSE,1.59062848206957e-15,FALSE
"IBI_burst_prc",5.99170816787064e-15,FALSE,1.16073369153186e-20,FALSE,0,FALSE,0,FALSE,8.93607245213455e-15,FALSE,8.59937545332311e-16,FALSE
"IBI_length_median",0,FALSE,9.98752088381264e-17,FALSE,0.107100486515734,FALSE,0,FALSE,1.15806722145027e-15,FALSE,1.46493432821078e-15,FALSE
"spectral_power__1_",0.217499623276699,TRUE,0.825502085247295,TRUE,0.127201269035843,TRUE,0.248873164140862,TRUE,0.308785536232471,FALSE,0.214205068221295,FALSE
"spectral_power__2_",0.0274348878256386,FALSE,0,FALSE,0,FALSE,0.0157431262388356,FALSE,0,FALSE,5.73218707632035e-15,FALSE
"spectral_power__3_",0.157691218656015,TRUE,0.0295166669802659,FALSE,0,FALSE,0.12498910219085,TRUE,3.71290079137168e-14,FALSE,0.0904216606336363,FALSE
"spectral_power__4_",0.550470785077803,TRUE,0.387592009639776,TRUE,0.337412895534575,FALSE,0.432085427432137,TRUE,0.370029909068709,FALSE,0.133115533627907,FALSE
"spectral_relative_power__1_",0.433120884339062,TRUE,0.403735981878458,FALSE,0,FALSE,0.482326104741209,TRUE,5.17051507925496e-17,FALSE,6.43315194700868e-14,TRUE
"spectral_relative_power__2_",0.346979392940233,TRUE,0.438572452061801,TRUE,4.58178134290287e-16,FALSE,0.372525518710278,TRUE,4.60617544546484e-14,FALSE,3.34799390521392e-14,FALSE
"spectral_relative_power__3_",0.387758434858011,TRUE,0.464902869267289,TRUE,0.188247412960354,TRUE,0.292413334543626,TRUE,0.0294359454214415,FALSE,0.201394468195449,FALSE
"spectral_relative_power__4_",0.615153618840576,TRUE,0.467763505465878,FALSE,0.285821906532142,FALSE,0.338109247013148,TRUE,0.0846420591898077,TRUE,0,FALSE
